,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
10,,Harry Potter game vs movies #hogwartslegacy #harrypotter #hogwarts #gaming #shorts - IGN,,https://www.youtube.com/watch?v=AgWO7UCCb2Q,https://i.ytimg.com/vi/AgWO7UCCb2Q/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYciBXKDwwDw==&rs=AOn4CLBqv5hbX9q04lwwNKM93KxSul56Eg,2023-02-09T23:32:56Z,,,YouTube
11,Vlad,Samsung Galaxy S23 Ultra gets subjected to another durability test - GSMArena.com news - GSMArena.com,"Scratches, burns, and bend attempts everywhere!",https://www.gsmarena.com/samsung_galaxy_s23_ultra_gets_subjected_to_another_durability_test-news-57502.php,https://fdn.gsmarena.com/imgroot/news/23/02/samsung-galaxy-s23-ultra-durability/-952x498w6/gsmarena_000.jpg,2023-02-09T23:29:34Z,"Mere hours ago, we brought you a video 'durability test' of the Samsung Galaxy S23 Ultra, and here we are now back again with another video... another 'durability test' video, that is. Don't worry, w… [+946 chars]",,GSMArena.com
12,Kieron Verbrugge,PlayStation Has Put The Spotlight On Four Exciting New Indies - Press Start Australia,"The PlayStation Blog and King Indies himself, Shuhei Yoshida, have put together a new spotlight feature on four unique and distinct upcoming indie titles that definitely deserve a following. Alongside a new look at the tantalising drive-to-survive run-based p…",https://press-start.com.au/news/playstation/2023/02/10/playstation-has-put-the-spotlight-on-four-exciting-new-indies/,https://press-start.com.au/wp-content/uploads/2023/02/playstation-indies.jpg,2023-02-09T23:12:46Z,"The PlayStation Blog and King Indies himself, Shuhei Yoshida, have put together a new spotlight feature on four unique and distinct upcoming indie titles that definitely deserve a following.
Alongsi… [+2673 chars]",,Press Start Australia
13,Jay Peters,Google wants to help developers make experiences like Maps' new “immersive” view - The Verge,Google’s Immersive Stream for XR is a new tool developers can use to make powerful mixed reality experiences backed by Google Cloud GPUs.,https://www.theverge.com/2023/2/9/23593342/google-maps-immersive-stream-xr-experiences-immersive-view-cloud,https://cdn.vox-cdn.com/thumbor/4DvLIEX96BDFN0ejVjkRgH9ZJhs=/0x0:1640x1093/1200x628/filters:focal(820x547:821x548)/cdn.vox-cdn.com/uploads/chorus_asset/file/24421914/ISXR_GA.max_2500x2500.png,2023-02-09T23:10:59Z,"Google wants to help developers make experiences like Maps new immersive view
Google wants to help developers make experiences like Maps new immersive view
 / The technology behind Googles new imme… [+1620 chars]",the-verge,The Verge
14,Mark Delaney,"Knockout City's Closure Is Part Of A ""Painful Truth"" Of The Games Industry, Studio Says - GameSpot","GameSpot caught up with Velan Studios to discuss the life and death of its taken-too-soon dodgeball game, and tried to figure out why modest success is often not enough in the live-service market.",https://www.gamespot.com/articles/knockout-citys-closure-is-part-of-a-painful-truth-of-the-games-industry-studio-says/1100-6511390/,https://www.gamespot.com/a/uploads/screen_kubrick/1632/16320660/4097410-4094451-3836323-koc_key_art_standard_horizontal.jpg,2023-02-09T23:09:05Z,"Knockout City's days are numbered, but for Velan Studios, there's still a strong sense of optimism. Though the live-service PvP dodgeball game nears its second anniversary on May 21, it'll only exist… [+9904 chars]",,GameSpot
15,,Why indie watchmaker Krayon's arrival in Singapore is exciting news and what you need to know about it - CNA Luxury,"The latest entrant to the local watch scene has just two calibres to its name but what it lacks in numbers, it makes up in sheer impressiveness.",https://cnaluxury.channelnewsasia.com/obsessions/krayon-indie-watchmaker-remi-maillat-218046,"https://onecms-res.cloudinary.com/image/upload/s--4jbOhaoO--/c_crop,h_843,w_1500,x_0,y_101/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2023/02/06/krayon_anywhere_rose_gold_landscape_photo_credit_-_the_hour_glass.jpg?itok=H7jvgxcT",2023-02-09T22:59:47Z,"Does anyone really need a mechanical timepiece that can calculate the exact times of sunrise and sunset at any given point on earth? Probably not. 
Then again, when it comes to watch collecting, it … [+715 chars]",,CNA
16,,"Pacific Drive - Drive, Survive, Repeat - Gameplay Trailer | PS5 - PlayStation Universe","In this first loook at the run-based driving survival adventure of Pacific Drive, you'll  face supernatural dangers on expeditions out into the Olympic Exclu...",https://www.youtube.com/watch?v=oGelQaRTosk,https://i.ytimg.com/vi/oGelQaRTosk/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGBEgXShyMA8=&rs=AOn4CLAM4lyWszQeU3-wvssmw807Fpk3rA,2023-02-09T22:54:12Z,,,YouTube
17,,Blood Bowl 3 - This is Blood Bowl! | PS5 & PS4 - PlayStation Universe,"The Superbowl is about to start, but that's not the only major soccer event in February! The Bogenhafen Barons take on the Thunder Valley Greenskins in a gam...",https://www.youtube.com/watch?v=klqrUiwTh8A,https://i.ytimg.com/vi/klqrUiwTh8A/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGH8gEygYMA8=&rs=AOn4CLCgx9oCr8qZf5SHdPeTE8dCTGDbOA,2023-02-09T22:48:52Z,,,YouTube
18,,Arcadia Fallen - Launch Trailer | PS5 & PS4 - PlayStation Universe,"Arcadia Fallen, a roleplay visual novel where your choices shape the personality of your character, is coming to PlayStation 4 & 5 on February 9th! Will you ...",https://www.youtube.com/watch?v=j7a28Cr-GUo,https://i.ytimg.com/vi/j7a28Cr-GUo/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGFYgSyhlMA8=&rs=AOn4CLAbSwnnsL3fdtX25EHalY3mBmrGNQ,2023-02-09T22:48:06Z,,,YouTube
19,Leah J. Williams,How amiibo work in The Legend of Zelda: Tears of the Kingdom - GamesHub,"The Legend of Zelda: Tears of the Kingdom will feature amiibo integration. Here's how this system will work, and what you'll get.",https://www.gameshub.com/news/news/legend-of-zelda-tears-of-the-kingdom-amiibo-guide-40662/,https://www.gameshub.com/wp-content/uploads/sites/5/2023/02/zelda-tears-of-the-kingdom-1.jpg,2023-02-09T22:47:23Z,"The Legend of Zelda: Tears of the Kingdom, one of the most anticipated Nintendo games of the year, will include amiibo integration with keen players able to purchase new Zelda amiibo or use old figur… [+2046 chars]",,Gameshub.com
